Id,Name,DistrictAssignedId,HasLegacyCP,DistrictId
102356USPU,Sylvan Hills Middle School,6003122,1,0511850DUS
102357USPU,Maumelle Middle School,6003149,1,0511850DUS
102362USPU,Joe T. Robinson Middle School,6003143,1,0511850DUS
102367USPU,Kirksey Middle School                           ,45,1,0511970DUS
102368USPU,Lingle Middle School,46,1,0511970DUS
102374USPU,Elmwood Middle School                        ,37,1,0511970DUS
102378USPU,Oakdale Middle School                        ,39,1,0511970DUS
102405USPU,Siloam Springs Middle School,406049,1,0512450DUS
102411USPU,Morrilton Jr. High School,37,1,0512520DUS
102425USPU,Central Junior High School,47,1,0512660DUS
102429USPU,Southwest Junior High School,48,1,0512660DUS
102433USPU,George Junior High School,60,1,0512660DUS
102454USPU,College Hill Middle,24,1,0513110DUS
102456USPU,North Heights Jr. High School,25,1,0513110DUS
102466USPU,Van Buren Freshman Academy,34,1,0513410DUS
102468USPU,Northridge Middle School,33,1,0513410DUS
102472USPU,Butterfield Trail Jhs,26,1,0513410DUS
102493USPU,West Fork Middle School,,1,0514010DUS
10256USPU,Homewood High School,,,0
102571USPU,Aim Higher College Prep Academy,,,0400052DUS
10265USPU,Sr Butler High School,0020,1,0101800DUS
10266USPU,Virgil Grissom High School,0340,1,0101800DUS
10267USPU,Huntsville High School,0160,1,0101800DUS
102687USPU,Sonoran Science Academy Phoenix,1,1,7802695DUS
10268USPU,Mae Jemison High School,0172,1,0101800DUS
10269USPU,Lee High School,0200,1,0101800DUS
10270USPU,New Century Technology High School,0460,1,0101800DUS
10284USPU,Jasper High School,,,0
102858USPU,BASIS Scottsdale                         ,322,,7800333DUS
103000USPU,Orange Grove Middle School                    ,,1,0401760DUS
10307USPU,Hewitt-Trussville High School,,1,0
103098USPU,West Point Elementary                          ,108,,0402690DUS
10349USPU,Madison County High School,,1,0
10350USPU,Hazel Green High School,,1,0
10351USPU,New Hope High School,,1,0
10352USPU,Sparkman High School,,1,0
103644USPU,Prescott Mile High Middle School,50,,0406730DUS
103650USPU,Sanders Middle School                        ,,,0406740DUS
10368USPU,Baker High School,,1,0
103714USPU,Desert Canyon Middle School               ,164,1,0407570DUS
103716USPU,Cocopah Middle School,169,1,0407570DUS
103717USPU,Hohokam Elementary School,114,1,0407570DUS
103719USPU,Ingleside Middle School                   ,165,1,0407570DUS
103721USPU,Mohave Middle School                      ,167,1,0407570DUS
103727USPU,Tonalea K-8 School                        ,109,1,0407570DUS
103730USPU,Cheyenne Traditional School        ,127,1,0407570DUS
103735USPU,Echo Canyon School,108,1,0407570DUS
103736USPU,Mountainside Middle School                      ,166,1,0407570DUS
103739USPU,Copper Ridge School     ,130,1,0407570DUS
104133USPU,Granite Oaks Middle                           ,22,,0600013DUS
104134USPU,Spring View Middle,21,,0600013DUS
104143USPU,Whitney High,32,1,0600013DUS
104194USPU,Hayfork Valley Elementary,6,,0600018DUS
10422USPU,Mountain Brook High School,0050,1,0102490DUS
104231USPU,David A. Brown Middle School                    ,6112734,1,0600027DUS
104236USPU,Elsinore Middle School                             ,6071203,1,0600027DUS
104239USPU,Terra Cotta Middle School                  ,6105548,1,0600027DUS
104245USPU,Canyon Lake Middle School                ,6120463,1,0600027DUS
104246USPU,Lakeside High School                     ,0107920,1,0600027DUS
104248USPU,Lakeland Village Middle School                    ,0122960,1,0600027DUS
104257USPU,Temecula Preparatory School,,1,0
104285USPU,Adams Middle School,6021992,1,0600032DUS
104289USPU,Parras (Nick G.) Middle School                        ,6022081,1,0600032DUS
104301USPU,Windsor Middle                           ,202,,0600034DUS
104302USPU,Cali Calmecac Charter                         ,510,,0600034DUS
104313USPU,Natomas Charter #19                             ,,1,0
10434USPU,Pell City High School,,,0
104356USPU,EARLE E. WILLIAMS MIDDLE                          ,40,1,0600047DUS
104362USPU,MILLENNIUM CHARTER                                ,,1,0600047DUS
104393USPU,Cardozo Middle,,,0600061DUS
104396USPU,Adelante High,,,0600061DUS
104404USPU,Connecting Waters Charter,connectingwaters,,7803387DUS
104425USPU,Washington Intermediate                    ,6053995,1,0600065DUS
104439USPU,Valley Center High                          ,,1,7800412DUS
104454USPU,The School Of Arts And Enterprise,,1,0
104485USPU,CARMENITA MIDDLE                                  ,25,1,0601620DUS
104489USPU,Ross Middle School Creative and Media Arts,26,1,0601620DUS
104492USPU,PLINY FISK HASKELL MIDDLE                         ,27,1,0601620DUS
104496USPU,PHARIS F. FEDDE MIDDLE                            ,28,1,0601620DUS
104503USPU,MARTIN B. TETZLAFF MIDDLE                         ,29,1,0601620DUS
104521USPU,Bay Farm Elementary,,,0601770DUS
104526USPU,Lincoln Middle,,,0601770DUS
104532USPU,Will C. Wood Middle,,,0601770DUS
104674USPU,Eastside High OSC (EHS OSC),1010,1,0602820DUS
104676USPU,SOAR High School (Students On Academic Rise)(SOAR),111872,1,0602820DUS
104697USPU,Richard Henry Dana Middle                   ,61,,0602970DUS
104698USPU,First Avenue Middle                          ,62,,0602970DUS
104699USPU,Foothills Middle                               ,63,,0602970DUS
10470USPU,Oak Mountain High School,,1,0
104744USPU,Center Middle School                           ,5,1,0603600DUS
104746USPU,Ellington K-8 School        ,11,1,0603600DUS
104747USPU,Foothill Middle School                             ,6,1,0603600DUS
104756USPU,Slauson Middle School                         ,7,1,0603600DUS
104760USPU,BAKER JR. HIGH                                    ,,1,0603610DUS
10481USPU,Livingston High School,,,0
10483USPU,Sumter County High School,,,0
104851USPU,Edgewood Academy,247,1,0604110DUS
104854USPU,Torch Middle,48,1,0604110DUS
104890USPU,Las Flores Educational Center,20,1,0604440DUS
104937USPU,Beverly Vista Middle School,1,,0604830DUS
105168USPU,William Moreno Junior High                     ,13_63099_6111587,,0606900DUS
105170USPU,Enrique Camarena Jr. High                      ,13_63099_0112318,,0606900DUS
105265USPU,CARMEL MIDDLE                                     ,,1,0
10528USPU,Vestavia Hills High School,,,0
105304USPU,Wilson C. Riles Middle,71,,0607900DUS
105479USPU,Washington                                        ,2,,0608970DUS
105713USPU,Las Palmas Intermediate School                    ,5,1,0610050DUS
105718USPU,Sierra Vista Middle School,6,1,0610050DUS
105719USPU,Traweek Middle School                      ,7,1,0610050DUS
105724USPU,Culver City Middle,9,1,0610260DUS
105757USPU,El Monte Middle School                      ,220,1,0610350DUS
105822USPU,Denair Middle,,1,0611040DUS
105823USPU,Denair Charter Academy                            ,,1,0611040DUS
105871USPU,Doty Middle School                                     ,0021,1,0611460DUS
105874USPU,Griffiths Middle                             ,0022,1,0611460DUS
105879USPU,Sussman Middle                                 ,0023,1,0611460DUS
105881USPU,Stauffer Middle School,0024,1,0611460DUS
105895USPU,Andres Duarte Arts Academy,,,0611520DUS
105896USPU,Beardslee Dual Language Immersion Academy,,,0611520DUS
105897USPU,Maxwell Academy,,,0611520DUS
105898USPU,Northview Intermediate,,1,0611520DUS
105899USPU,Royal Oaks STEAM Academy,,,0611520DUS
106096USPU,Classical Academy High School                        ,,,0
106122USPU,Olympus Junior High                      ,6113443,,0613080DUS
106124USPU,Willma Cavitt Junior High                      ,6101778,,0613080DUS
106159USPU,Dover Academy for International Studies                            ,359,1,0613360DUS
106162USPU,Grange Middle                                ,439,1,0613360DUS
106163USPU,Green Valley Middle                              ,342,1,0613360DUS
106168USPU,Suisun Valley K-8 School,360,1,0613360DUS
106172USPU,Crystal Middle                               ,322,1,0613360DUS
106175USPU,Oakbrook Elementary School,444,1,0613360DUS
106176USPU,Dan O. Root Health and Wellness Academy,446,,0613360DUS
106177USPU,B. Gale Wilson K-8 School                   ,450,1,0613360DUS
106193USPU,Fillmore Middle                             ,150,1,0613800DUS
106206USPU,Folsom Middle                        ,310,1,0613890DUS
106208USPU,Mills Middle                                  ,710,1,0613890DUS
106209USPU,W. E. Mitchell Middle                       ,720,1,0613890DUS
106220USPU,Sutter Middle                               ,320,1,0613890DUS
106230USPU,Alder Middle                                    ,331,1,0613920DUS
106232USPU,Fontana Middle                            ,332,1,0613920DUS
106243USPU,SEQUOIA MIDDLE                                    ,333,1,0613920DUS
106247USPU,HARRY S. TRUMAN MIDDLE                            ,336,1,0613920DUS
106252USPU,Southridge Middle                            ,338,1,0613920DUS
106254USPU,Almeria Middle                                ,334,1,0613920DUS
106260USPU,Wayne Ruble Middle                     ,337,1,0613920DUS
106262USPU,Summit High                                   ,424,1,0613920DUS
10639USPU,Interior Distance Education of Alaska,,,0
106419USPU,Cambridge International Preparatory School,,,0
10644USPU,Bartlett High School,,,0
106543USPU,Buckeye School of the Arts                            ,,,0614950DUS
106551USPU,Shasta Lake School                              ,SHASTA_LAKE_SCHOOL,1,0614950DUS
106596USPU,Goddard Middle                                ,10,,0615270DUS
106598USPU,Sandburg Middle                              ,30,,0615270DUS
10661USPU,Service High School,,1,0
106632USPU,Community Collaborative Charter                ,,,0
106666USPU,Kermit McKenzie Junior High                       ,,,0
10666USPU,Pacific High School,427010,,0200240DUS
10668USPU,Sitka High School,420130,,0200240DUS
106731USPU,Hart-Ransom Academic Charter,,,0
106743USPU,Hawthorne Math & Science Academy,,,0
106953USPU,Frontier High                                  ,018,1,0619540DUS
106959USPU,Keyes To Learning Charter,,1,0
106972USPU,Citrus Middle,6006746,,0619700DUS
106973USPU,Dunlap Elementary,6006753,,0619700DUS
106974USPU,General Grant Middle,6006761,,0619700DUS
106979USPU,Navelencia Middle,6006829,,0619700DUS
106980USPU,Riverview Elementary,6006837,,0619700DUS
106984USPU,Thomas Law Reed Elementary,106815,,0619700DUS
106985USPU,Orange Cove High,108092,1,0619700DUS
107057USPU,Thurston Middle School                          ,,1,0620370DUS
107123USPU,Lindero Canyon Middle                        ,302,1,0621000DUS
107129USPU,Alice C. Stelle Middle                       ,303,1,0621000DUS
107131USPU,Arthur E. Wright Middle                      ,301,1,0621000DUS
107165USPU,Lemoore Middle College High                     ,,,0621400DUS
107306USPU,Lo-Inyo Elementary                            ,,,0622440DUS
107416USPU,John Adams Middle School,8009,,0622710DUS
107436USPU,Audubon Middle School,8028,,0622710DUS
107440USPU,Hubert Howe Bancroft Middle School,8038,,0622710DUS
107448USPU,Belvedere Middle School,8047,,0622710DUS
107449USPU,Berendo Middle School,8057,,0622710DUS
107451USPU,Mary McLeod Bethune Middle School,8060,,0622710DUS
107463USPU,Brooklyn Avenue Elementary ,2562,,0622710DUS
107467USPU,Luther Burbank Middle School Arts/Technology/Community Mag,8066,,0622710DUS
107469USPU,John Burroughs Middle School,8075,,0622710DUS
107471USPU,Richard E Byrd Middle School,8080,,0622710DUS
107484USPU,Andrew Carnegie Middle School,8090,,0622710DUS
107485USPU,Caroldale Learning Community,2815,,0622710DUS
107489USPU,George Washington Carver Middle School,8094,,0622710DUS
107512USPU,Christopher Columbus Middle school,8102,,0622710DUS
107521USPU,Glenn Hammond Curtiss Middle School,8103,,0622710DUS
107524USPU,Richard Henry Dana Middle School,8104,,0622710DUS
107533USPU,Rudecinda Sepulveda Dodson Middle School,8110,,0622710DUS
107537USPU,Charles Drew Middle School,8112,,0622710DUS
107542USPU,Thomas A Edison Middle School,8113,,0622710DUS
107546USPU,El Sereno Middle School,8118,,0622710DUS
107549USPU,Emerson Community Charter,8123,,0622710DUS
107567USPU,Alexander Fleming Middle School,8127,,0622710DUS
107576USPU,Robert Frost Middle School,8137,,0622710DUS
107578USPU,Robert Fulton College Preparatory School         ,8142,,0622710DUS
107579USPU,Henry T Gage Middle School,8151,,0622710DUS
107588USPU,Glen Alta Elementary,4137,,0622710DUS
107591USPU,Samuel Gompers Middle School,8160,,0622710DUS
107599USPU,Griffith Middle School STEAM Magnet,8168,,0622710DUS
107602USPU,George Ellery Hale Charter Academy,8169,,0622710DUS
107611USPU,Bret Harte Preparatory Middle School,8170,,0622710DUS
107616USPU,Patrick Henry Middle School,8174,,0622710DUS
107621USPU,Hollenbeck Middle School,8179,,0622710DUS
107622USPU,Oliver Wendell Holmes Middle School,8182,,0622710DUS
107630USPU,Washington Irving Middle School Math Music Engineering Mag,8189,,0622710DUS
107637USPU,Thomas Starr King Middle School Magnet: Film and Media,8208,,0622710DUS
107647USPU,Laurel Elementary,4808,,0622710DUS
107648USPU,Ernest Lawrence Middle School,8217,,0622710DUS
107649USPU,Joseph Le Conte Middle School,8226,,0622710DUS
107659USPU,Logan Academy of Global Ecology,4904,,0622710DUS
107667USPU,Charles Maclay Middle School,8228,,0622710DUS
107668USPU,James Madison Middle School,8230,,0622710DUS
107677USPU,Marina Del Rey Middle School,8235,,0622710DUS
107678USPU,Mark Twain Middle School,8425,,0622710DUS
107679USPU,Edwin Markham Middle School,8237,,0622710DUS
107693USPU,Robert A Millikan Affiliated Charter and Performing Arts MS,8238,,0622710DUS
107700USPU,Mount Gleason Middle School,8240,,0622710DUS
107701USPU,Johnnie L Cochran Jr Middle School,8245,,0622710DUS
107703USPU,John Muir Middle School,8255,,0622710DUS
107704USPU,William Mulholland Middle School,8259,,0622710DUS
107711USPU,Florence Nightingale Middle School,8264,,0622710DUS
107712USPU,Chester W Nimitz Middle School,8268,,0622710DUS
107719USPU,Alfred B Nobel Charter Middle School,8272,,0622710DUS
107723USPU,Northridge Middle School,8283,,0622710DUS
107726USPU,Olive Vista Middle School,8306,,0622710DUS
107747USPU,Pacoima Middle School,8321,,0622710DUS
107749USPU,Palms Middle School,8340,,0622710DUS
107755USPU,Robert E Peary Middle School,8352,,0622710DUS
107762USPU,George K Porter Middle School,8354,,0622710DUS
107763USPU,Gaspar de Portola Middle School,8107,,0622710DUS
107770USPU,Walter Reed Middle School,8355,,0622710DUS
107772USPU,Paul Revere Charter Middle School,8356,,0622710DUS
107786USPU,San Fernando MS Institute of Applied Media (SFIAM),6501,,0622710DUS
107797USPU,Francisco Sepulveda Middle School,8363,,0622710DUS
107816USPU,South Gate Middle School,8377,,0622710DUS
107823USPU,Robert Louis Stevenson College & Career Prep,8387,,0622710DUS
107831USPU,John A Sutter Middle School,8406,,0622710DUS
107853USPU,Utah Street Elementary,7370,,0622710DUS
107860USPU,Van Nuys Middle School,8434,,0622710DUS
107870USPU,Virgil Middle School,8462,,0622710DUS
107875USPU,Daniel Webster Middle School,8481,,0622710DUS
107886USPU,Stephen M White Middle School,8487,,0622710DUS
107889USPU,Wilmington Middle School STEAM Magnet,8490,,0622710DUS
107899USPU,Orville Wright Engineering and Design Magnet,8493,,0622710DUS
107906USPU,Los Angeles Academy Middle School,8200,,0622710DUS
107909USPU,Sven Lokrantz Special Education Center,1947,,0622710DUS
107910USPU,Charles Leroy Lowman Special Ed & Career Transition Center,1948,,0622710DUS
107911USPU,Sophia T Salvin Special Education Center,1955,,0622710DUS
107922USPU,Ellen Ochoa Learning Center,2372,,0622710DUS
107928USPU,Arroyo Seco Museum Science Magnet,4322,,0622710DUS
107929USPU,Pio Pico Middle School,4980,,0622710DUS
107939USPU,Los Angeles Leadership Academy High School,8756,1,0
107957USPU,PUC Lakeview Charter High School,16,1,7800072DUS
107962USPU,Ivy Academia                                      ,,1,0
107968USPU,Alliance Gertz-Ressler High School,106864,1,7802505DUS
107976USPU,Vista Middle School,8117,,0622710DUS
107977USPU,Southeast Middle School,8153,,0622710DUS
107978USPU,Orthopaedic Hospital Senior High Medical Magnet                    ,8853,,0622710DUS
107979USPU,Northridge Academy Senior High           ,8513,,0622710DUS
107980USPU,International Studies Learning Center,8701,,0622710DUS
107981USPU,Port Of Los Angeles High                     ,8528,,0
107984USPU,Alliance Judy Ivie Burton Technology High School,108894,1,7802505DUS
107987USPU,Larchmont Charter,,,0
107988USPU,Alliance Collins Family College-Ready High School,108936,1,7802505DUS
108005USPU,South East Senior High                   ,8881,,0622710DUS
108006USPU,Maywood Academy Senior High                     ,8882,,0622710DUS
108037USPU,Santee Education Complex                    ,8716,,0622710DUS
108038USPU,Los Angeles Academy Of Arts & Enterprise Charter,8216,,0
108040USPU,NEW VILLAGE CHARTER SCHOOL                          ,8775,1,0
108041USPU,Alliance Patti & Peter Neuwirth Leadership Academy                  ,114942,1,7802505DUS
108050USPU,Alliance William & Carol Ouchi High School,111641,1,7802505DUS
108059USPU,Miguel Contreras Learning Complex - Academic Leadership Community          ,8207,,0622710DUS
108060USPU,East Valley Senior High,8607,,0622710DUS
108061USPU,Arleta Senior High                              ,8609,,0622710DUS
108062USPU,Panorama Senior High                       ,8610,,0622710DUS
108063USPU,Hesby Oaks Leadership Charter,4521,,0622710DUS
108098USPU,Olive Grove Charter School                                  ,,,0
108132USPU,Lynwood Middle                             ,21,1,0623160DUS
108136USPU,Cesar Chavez Middle                              ,28,1,0623160DUS
108137USPU,Marco Antonio Firebaugh High            ,38,1,0623160DUS
108139USPU,Hosler Middle                              ,20,1,0623160DUS
10830USPU,Cactus Shadows High School,,1,0
108314USPU,MIDDLETOWN MIDDLE                                 ,6107049,1,0624750DUS
108371USPU,Clifton Middle                                 ,6,1,0625320DUS
108375USPU,Santa Fe Middle                                ,7,1,0625320DUS
108410USPU,Walter Colton Middle School                                    ,7100,1,0625530DUS
108417USPU,Los Arboles Middle School                           ,7700,1,0625530DUS
108425USPU,Marina High School                                      ,8300,1,0625530DUS
108427USPU,Mesa Verde Middle School                               ,280,1,0625690DUS
108430USPU,Chaparral Middle School                              ,200,1,0625690DUS
108432USPU,Campus Canyon School,160,1,0625690DUS
108478USPU,Lewis H. Britton Middle                        ,20,1,0625830DUS
108480USPU,Jackson Elementary                             ,15,1,0625830DUS
108482USPU,Martin Murphy Middle                        ,21,1,0625830DUS
108485USPU,San Martin/Gwinn Elementary                     ,10,1,0625830DUS
108490USPU,Ann Sobrato High                           ,32,1,0625830DUS
10850USPU,Nfl Yet College Prep Academy,,,0400052DUS
108553USPU,El Dorado Middle,,,0626370DUS
108569USPU,Riverview Middle,,,0626370DUS
108612USPU,Redwood Middle School                                ,5,1,0626640DUS
108615USPU,Silverado Middle School                              ,7,1,0626640DUS
108622USPU,River Middle School                                   ,4,1,0626640DUS
108625USPU,American Canyon Middle School                           ,6,1,0626640DUS
108631USPU,Harvest Middle School                               ,28,1,0626640DUS
108632USPU,Napa Valley Independent Studies,32,1,0626640DUS
108648USPU,Needles Middle                               ,6100929,,0626760DUS
108680USPU,Newark Junior High School,022,1,0627060DUS
108699USPU,Abraham Lincoln Elementary                    ,43,1,0627240DUS
108700USPU,Victoria Elementary                             ,54,1,0627240DUS
108701USPU,Roy O. Andersen Elementary                  ,59,1,0627240DUS
108702USPU,California Elementary                          ,36,1,0627240DUS
108703USPU,College Park Elementary                      ,38,1,0627240DUS
108704USPU,Ensign Intermediate School                    ,68,1,0627240DUS
108705USPU,Harbor View Elementary                        ,40,1,0627240DUS
108706USPU,Heinz Kaiser Elementary                   ,41,1,0627240DUS
108707USPU,Killybrooke Elementary                    ,42,1,0627240DUS
108708USPU,Mariners Elementary                            ,44,1,0627240DUS
108709USPU,Newport Elementary                              ,48,1,0627240DUS
108710USPU,Newport Heights Elementary                     ,49,1,0627240DUS
108711USPU,Paularino Elementary                          ,50,1,0627240DUS
108712USPU,Pomona Elementary                               ,51,1,0627240DUS
108713USPU,Sonora Elementary                             ,53,1,0627240DUS
108714USPU,TeWinkle Intermediate School                 ,72,1,0627240DUS
108715USPU,Whittier Elementary ,55,1,0627240DUS
108716USPU,Wilson Elementary                                 ,56,1,0627240DUS
108717USPU,Everett A. Rea Elementary                        ,52,1,0627240DUS
108718USPU,Maude B. Davis Elementary                       ,39,1,0627240DUS
108719USPU,Eastbluff Elementary                           ,58,1,0627240DUS
108720USPU,Newport Coast Elementary                      ,46,1,0627240DUS
108721USPU,Adams Elementary                                ,32,1,0627240DUS
108723USPU,Early College High School                        ,63,1,0627240DUS
10872USPU,Mohave High School,,,0
108773USPU,Hamilton Meadow Park Elementary,22,1,0627720DUS
108780USPU,San Jose Intermediate School                                   ,64,1,0627720DUS
108782USPU,Sinaloa Middle School                                    ,66,1,0627720DUS
108785USPU,NEXUS ACADEMY                                     ,18,1,0627720DUS
108815USPU,MEDEA CREEK MIDDLE                                ,,,0
108911USPU,BAY AREA TECHNOLOGY                               ,,,0
108917USPU,"Oakland Military Institute, College Prep Academy",,,0
108964USPU,Jefferson Middle                                 ,,1,0
108983USPU,Matilija Junior High                           ,,1,0628270DUS
109033USPU,Cerro Villa Middle                              ,380,1,0628650DUS
109048USPU,Portola Middle                                    ,383,1,0628650DUS
109051USPU,Santiago Middle                                ,384,1,0628650DUS
109058USPU,Yorba Middle                                  ,386,1,0628650DUS
109059USPU,Mcpherson Magnet                             ,381,1,0628650DUS
109125USPU,Aptos Junior High,12,,0629490DUS
109128USPU,E. A. Hall Middle School                              ,11,,0629490DUS
109134USPU,Pajaro Middle School                                ,15,,0629490DUS
109136USPU,Rolling Hills Middle School                         ,10,,0629490DUS
109140USPU,Lakeview Middle School                                ,14,1,0629490DUS
109148USPU,Pajaro Valley High School                            ,6,1,0629490DUS
109149USPU,Cesar Chavez Middle School,16,,0629490DUS
109215USPU,Jane Lathrop Stanford Middle,6060081,,0629610DUS
109218USPU,Greene Middle School ,6060065,,0629610DUS
109219USPU,Fletcher Middle School                                 ,6118707,,0629610DUS
109250USPU,Alondra                                           ,014,1,0629850DUS
109253USPU,Hollydale,003,1,0629850DUS
109259USPU,Frank J. Zamboni,011,1,0629850DUS
109260USPU,Paramount Park,012,1,0629850DUS
109263USPU,Leona Jackson,015,1,0629850DUS
109276USPU,Eliot Middle School,70,1,0629940DUS
109289USPU,Sierra Madre Middle School,52,1,0629940DUS
109290USPU,Washington Middle School                             ,76,1,0629940DUS
109293USPU,Wilson Middle School                        ,78,1,0629940DUS
109295USPU,McKinley School                                       ,73,1,0629940DUS
109300USPU,Creekside Middle,120,,0630030DUS
10930USPU,Crittenton Youth Academy,,1,0
10936USPU,Tucson Accelerated High School,,1,0
109378USPU,PARKVIEW                                          ,170,,0630660DUS
109379USPU,Travis Ranch                                      ,230,,0630660DUS
109415USPU,Los Primeros School of Sciences and Arts,,,0630990DUS
109416USPU,Monte Vista Middle,,,0630990DUS
109417USPU,Santa Rosa Technology Magnet,,,0630990DUS
109420USPU,Las Colinas Middle,,,0630990DUS
109522USPU,R. Roger Rowe Middle                            ,,,0
109689USPU,Mary P. Henck Intermediate,2,1,0632610DUS
109708USPU,Rio del Valle Middle School,RDV,1,0632760DUS
10971USPU,Mountain Rose Academy,,1,7800224DUS
10973USPU,Agua Fria High School,002,,0400450DUS
10974USPU,Millennium High School,001,,0400450DUS
109815USPU,Roseland University Prep,RUP,1,0633510DUS
10993USPU,Catalina Foothills High School,,1,0401760DUS
109940USPU,Rancho Santa Margarita Intermediate      ,85,1,0633860DUS
109950USPU,La Paz Intermediate                            ,80,1,0633860DUS
109954USPU,Los Alisos Intermediate                       ,81,1,0633860DUS
109961USPU,Serrano Intermediate                          ,82,1,0633860DUS
11006USPU,Dysart High School,205,1,0402690DUS
110070USPU,Language Academy K-8,0170A,1,0634320DUS
110075USPU,Audubon K-8,0009A,1,0634320DUS
110081USPU,Bell Middle ,0302A,1,0634320DUS
11009USPU,Coconino High School,CHS,1,0402860DUS
110107USPU,Farb Middle                       ,0367A,1,0634320DUS
11010USPU,Flagstaff High School,FHS,1,0402860DUS
110114USPU,Fulton K-8,0119A,1,0634320DUS
110116USPU,Grant K-8,0127A,1,0634320DUS
11012USPU,Sinagua Middle School,Sinagua ,1,0402860DUS
110134USPU,Knox Middle,0296A,1,0634320DUS
110138USPU,Lewis Middle                         ,0311A,1,0634320DUS
11013USPU,Florence High School,201,1,0402920DUS
110141USPU,Logan K-8,0177A,1,0634320DUS
110143USPU,Longfellow K-8,0181A,1,0634320DUS
110144USPU,Perkins K-8,0185A,1,0634320DUS
110147USPU,Marston Middle,0313A,1,0634320DUS
110151USPU,Memorial Preparatory     ,0330A,1,0634320DUS
110154USPU,Montgomery Middle                           ,0316A,1,0634320DUS
110155USPU,Muirlands Middle                   ,0317A,1,0634320DUS
110159USPU,Pacific Beach Middle                  ,0320A,1,0634320DUS
110163USPU,Pershing Middle                           ,0321A,1,0634320DUS
110165USPU,Roosevelt International Middle                           ,0324A,1,0634320DUS
110174USPU,Standley Middle                             ,0325A,1,0634320DUS
